Abelmoschus esculentus	Piżmian jadalny
Rhamnus cathartica	Szakłak pospolity
Rhaponticum carthamoides	Szczodrak krokoszowaty
Rheum palmatum	Rabarbar dłoniasty
Rheum rhabarbarum	Rabarbar kędzierzawy
Rheum rhaponticum	Rabarbar ogrodowy
Rhinanthus alectorolophus	Szelężnik włochaty
Rhinanthus borbasii	Szelężnik Borbasa
Rhinanthus minor	Szelężnik mniejszy
Rhinanthus serotinus	Szelężnik większy
Rhodiola rosea	Różeniec górski
Rhododendron arboreum	Różanecznik drzewiasty
Rhododendron brachycarpum	Różanecznik krótkoowocowy
Rhododendron catawbiense	Różanecznik katawbijski
Rhododendron caucasicum	Różanecznik kaukaski
Rhododendron dauricum	Różanecznik dahurski
Rhododendron ferrugineum	Różanecznik alpejski
Rhododendron forrestii	Różanecznik rozesłany
Rhododendron hirsutum	Różanecznik kosmaty
Rhododendron impeditum	Różanecznik gęsty
Rhododendron luteum	Różanecznik żółty
Rhododendron maximum	Różanecznik olbrzymi
Rhododendron molle subsp. japonicum	Różanecznik japoński
Rhododendron mucronatum	Różanecznik ostrolistny
Rhododendron mucronulatum	Różanecznik ostrokończysty
Rhododendron praecox	Różanecznik wczesny
Rhododendron purdomii	Różanecznik Purdoma
Rhododendron schlippenbachii	Różanecznik Schlippenbacha
Rhododendron smirnowii	Różanecznik Smirnowa
Rhododendron wardii	Różanecznik Warda
Rhododendron williamsianum	Różanecznik Williamsa
Rhododendron yakushimanum	Różanecznik jakuszimański
Rhodothamnus chamaecistus	Rhodothamnus chamaecistus
Rhodotypos scandens	Różowiec biały
Rhus coriaria	Sumak garbarski
Rhus typhina	Sumak octowiec
Rhynchospora alba	Przygiełka biała
Rhynchospora fusca	Przygiełka brunatna
Ribes alpinum	Porzeczka alpejska
Ribes aureum	Porzeczka złota
Ribes nigrum	Porzeczka czarna
Ribes petraeum	Porzeczka skalna
Ribes rubrum	Porzeczka zwyczajna
Ribes sanguineum	Porzeczka krwista
Ribes sardoum	Ribes sardoum
Ribes uva-crispa	Porzeczka agrest
Riccia fluitans	Wgłębka wodna
Ricinus communis	Rącznik pospolity
Robinia pseudoacacia	Robinia akacjowa
Robinia viscosa	Robinia lepka
Rodgersia aesculifolia	Rodgersja kasztanowcolistna
Rorippa amphibia	Rzepicha ziemnowodna
Rorippa austriaca	Rzepicha austriacka
Rorippa palustris	Rzepicha błotna
Rorippa sylvestris	Rzepicha leśna
Rosa agrestis	Róża polna
Rosa arvensis	Róża pnąca
Rosa blanda	Róża labradorska
Rosa canina	Róża dzika
Rosa dumalis	Róża sina
Rosa foetida	Róża żółta
Rosa gallica	Róża francuska
Rosa glauca	Róża czerwonawa
Rosa hugonis	Rosa hugonis
Rosa inodora	Róża eliptyczna
Rosa jundzillii	Róża Jundziłła
Rosa luciae	Róża Wichury
Rosa majalis	Róża girlandowa
Rosa micrantha	Róża drobnokwiatowa
Rosa multiflora	Róża wielokwiatowa
Rosa pendulina	Róża alpejska
Rosa pimpinellifolia	Róża gęstokolczasta
Rosa rubiginosa	Róża rdzawa
Rosa rugosa	Róża pomarszczona
Rosa sericea	Róża czteropłatkowa
Rosa sherardii	Róża zapoznana
Rosa villosa	Róża jabłkowata
Rosa x damascena	Róża damasceńska
Rosmarinus officinalis	Rozmaryn lekarski
Rotala rotundifolia	Rotala okrągłolistna
Rubia tinctorum	Marzana barwierska
Rubus	Jeżyna
Rubus caesius	Jeżyna popielica
Rubus chamaemorus	Malina moroszka
Rubus fruticosus	Jeżyna krzewiasta
Rubus hirtus	Jeżyna gruczołowata
Rubus idaeus	Malina właściwa
Rubus laciniatus	Jeżyna wcinanolistna
Rubus nessensis	Jeżyna wzniesiona
Rubus odoratus	Jeżyna pachnąca
Rubus plicatus	Jeżyna fałdowana
Rubus praecox	Jeżyna długopręcikowa
Rubus saxatilis	Malina kamionka
Rudbeckia fulgida	Rudbekia błyskotliwa
Rudbeckia laciniata	Rudbekia naga
Rumex acetosa	Szczaw zwyczajny
Rumex acetosella	Szczaw polny
Rumex alpinus	Szczaw alpejski
Rumex aquaticus	Szczaw wodny
Rumex conglomeratus	Szczaw skupiony
Rumex crispus	Szczaw kędzierzawy
Rumex hydrolapathum	Szczaw lancetowaty
Rumex maritimus	Szczaw nadmorski
Rumex obtusifolius	Szczaw tępolistny
Rumex sanguineus	Szczaw gajowy
Rumex scutatus	Szczaw tarczolistny
Rumex ucranicus	Szczaw ukraiński
Rumex vesicarius	Rumex vesicarius
Ruppia maritima	Rupia morska
Ruscus aculeatus	Myszopłoch kolczasty
Ruta chalepensis	Ruta chalepensis
Ruta graveolens	Ruta zwyczajna
Saccharum officinarum	Cukrowiec lekarski
Sagina apetala	Karmnik bezpłatkowy
Sagina maritima	Karmnik nadmorski
Sagina nodosa	Karmnik kolankowaty
Sagina procumbens	Karmnik rozesłany
Sagina saginoides	Karmnik skalny
Sagina subulata	Karmnik ościsty
Sagittaria sagittifolia	Strzałka wodna
Saintpaulia ionantha	Sępolia fiołkowa
Salicornia europaea	Soliród zielny
Salix acutifolia	Wierzba ostrolistna
Salix alba	Wierzba biała
Salix alpina	Wierzba alpejska
Salix arenaria	Wierzba piaskowa
Salix aurita	Wierzba uszata
Salix babylonica	Wierzba mandżurska
Salix bicolor	Wierzba dwubarwna
Salix caprea	Wierzba iwa
Salix cinerea	Wierzba szara
Salix daphnoides	Wierzba wawrzynkowa
Salix elaeagnos	Wierzba siwa
Salix fragilis	Wierzba krucha
Salix hastata	Wierzba oszczepowata
Salix helvetica	Wierzba szwajcarska
Salix herbacea	Wierzba zielna
Salix integra	Wierzba całolistna
Salix lapponum	Wierzba lapońska
Salix myrtilloides	Wierzba borówkolistna
Salix pentandra	Wierzba pięciopręcikowa
Salix purpurea	Wierzba purpurowa
Salix repens	Wierzba płożąca
Salix reticulata	Wierzba żyłkowana
Salix retusa	Wierzba wykrojona
Salix rosmarinifolia	Wierzba rokita
Salix silesiaca	Wierzba śląska
Salix starkeana	Wierzba śniada
Salix triandra	Wierzba trójpręcikowa
Salix viminalis	Wierzba wiciowa
Salix × sepulcralis var. chrysocoma	Wierzba żałobna 'Chrysocoma'
Salsola kali	Solanka kolczysta
Salvia divinorum	Szałwia wieszcza
Salvia glutinosa	Szałwia lepka
Salvia nemorosa	Szałwia omszona
Salvia officinalis	Szałwia lekarska
Nazwa łacińska	Nazwa polska
Salvia pratensis	Szałwia łąkowa
Salvia sclarea	Szałwia muszkatołowa
Salvia splendens	Szałwia błyszcząca
Salvia verticillata	Szałwia okręgowa
Salvinia natans	Salwinia pływająca
Sambucus ebulus	Bez hebd
Sambucus nigra	Bez czarny
Sambucus racemosa	Bez koralowy
Samolus valerandi	Jarnik solankowy
Sandersonia aurantiaca	Sandersonia pomarańczowa
Sanguisorba minor	Krwiściąg mniejszy
Sanguisorba minor subsp. balearica	Krwiściąg średni
Sanguisorba officinalis	Krwiściąg lekarski
Sanicula europaea	Żankiel zwyczajny
Santolina chamaecyparissus	Santolina cyprysikowata
Saponaria ocymoides	Mydlnica bazyliowata
Saponaria officinalis	Mydlnica lekarska
Sarcocornia fruticosa	Soliród krzaczasty
Sarcopoterium spinosum	Krwiściąg ciernisty
Satureja hortensis	Cząber ogrodowy
Satureja montana	Cząber górski
Saussurea alpina	Saussurea alpejska
Saussurea pygmaea	Saussurea wielkogłowa
Saxegothaea conspicua	Saxegothaea conspicua
Saxifraga adscendens	Skalnica dwuletnia
Saxifraga aizoides	Skalnica nakrapiana
Saxifraga androsacea	Skalnica naradkowata
Saxifraga arendsii	Skalnica Arendsa
Saxifraga bryoides	Skalnica mchowata
Saxifraga caesia	Skalnica seledynowa
Saxifraga carpathica	Skalnica karpacka
Saxifraga cernua	Skalnica zwisła
Saxifraga florulenta	Saxifraga florulenta
Saxifraga granulata	Skalnica ziarenkowata
Saxifraga hieraciifolia	Skalnica jastrzębcowata
Saxifraga hirculus	Skalnica torfowiskowa
Saxifraga moschata	Skalnica darniowa
Saxifraga nivalis	Skalnica śnieżna
Saxifraga oppositifolia	Skalnica naprzeciwlistna
Saxifraga paniculata	Skalnica gronkowa
Saxifraga retusa	Skalnica odgiętolistna
Saxifraga rotundifolia	Skalnica okrągłolistna
Saxifraga sponhemica	Skalnica zwodnicza
Saxifraga stolonifera	Skalnica rozłogowa
Saxifraga tridactylites	Skalnica trójpalczasta
Saxifraga trifurcata	Skalnica trójdzielna
Saxifraga umbrosa	Skalnica cienista
Saxifraga wahlenbergii	Skalnica tatrzańska
Scabiosa atropurpurea	Driakiew purpurowa
Scabiosa canescens	Driakiew wonna
Scabiosa caucasica	Driakiew kaukaska
Scabiosa columbaria	Driakiew gołębia
Scabiosa lucida	Driakiew lśniąca
Scabiosa ochroleuca	Driakiew żółta
Scandix pecten-veneris	Czechrzyca grzebieniowa
Schefflera actinophylla	Szeflera parasolowata
Scheuchzeria palustris	Bagnica torfowa
Schinus molle	Schinus peruwiański
Schisandra chinensis	Cytryniec chiński
Schistidium atrofuscum	Rozłupek czarniawy
Schistidium brunnescens	Rozłupek brunatny
Schistidium trichodon	Rozłupek włoskoząb
Schoenoplectiella mucronata	Oczeret sztyletowaty
Schoenoplectiella supina	Sitniczka drobna
Schoenoplectus americanus	Oczeret amerykański
Schoenoplectus lacustris	Oczeret jeziorny
Schoenoplectus tabernaemontani	Oczeret Tabernemontana
Schoenus ferrugineus	Marzyca ruda
Schoenus nigricans	Marzyca czarniawa
Sciadopitys verticillata	Sośnica japońska
Scilla bifolia	Cebulica dwulistna
Scilla sibirica	Cebulica syberyjska
Scirpoides holoschoenus	Hołoszeń główkowaty
Scirpus radicans	Sitowie korzenioczepne
Scirpus sylvaticus	Sitowie leśne
Scleranthus annuus	Czerwiec roczny
Scleranthus perennis	Czerwiec trwały
Sclerochloa dura	Suchotraw twardy
Scolochloa festucacea	Skolochloa trzcinowata
Scolymus hispanicus	Scolymus hispanicus
Scolymus maculatus	Skolymus plamisty
Scopolia carniolica	Lulecznica kraińska
Scorzonera hispanica	Wężymord czarny korzeń
Scorzonera humilis	Wężymord niski
Scorzonera purpurea	Wężymord stepowy
Scorzoneroides autumnalis	Brodawnik jesienny
Scorzoneroides pseudotaraxaci	Brodawnik tatrzański
Scrophularia nodosa	Trędownik bulwiasty
Scrophularia scopolii	Trędownik omszony
Scrophularia umbrosa	Trędownik skrzydlaty
Scutellaria galericulata	Tarczyca pospolita
Scutellaria hastifolia	Tarczyca oszczepowata
Secale cereale	Żyto zwyczajne
Sechium edule	Kolczoch jadalny
Securigera varia	Cieciorka pstra
Sedum acre	Rozchodnik ostry
Sedum album	Rozchodnik biały
Sedum alpestre	Rozchodnik alpejski
Sedum atratum	Rozchodnik czarniawy
Sedum caeruleum	Rozchodnik błękitny
Nazwa łacińska	Nazwa polska
Sedum ewersii	Rozchodnikowiec Ewersa
Sedum kamtschaticus	Rozchodnik kamczacki
Sedum maximum	Rozchodnik wielki
Sedum rupestre	Rozchodnik ościsty
Sedum sexangulare	Rozchodnik sześciorzędowy
Sedum spectabile	Rozchodnikowiec okazały
Sedum spurium	Rozchodnik kaukaski
Sedum telephium	Rozchodnik karpacki
Sedum villosum	Rozchodnik owłosiony
Selaginella apoda	Selaginella apoda
Selaginella helvetica	Widliczka szwajcarska
Selaginella kraussiana	Widliczka Kraussa
Selaginella selaginoides	Widliczka ostrozębna
Selaginella tamariscina	Selaginella tamariscina
Selinum carvifolia	Olszewnik kminkolistny
Sempervivum montanum	Rojnik górski
Sempervivum tectorum	Rojnik murowy
Senecio aurantiacus	Starzec pomarańczowy
Senecio carpaticus	Starzec karpacki
Senecio erucifolius	Starzec srebrzysty
Senecio inaequidens	Starzec nierównozębny
Senecio integrifolius	Starzec polny
Senecio macrophyllus	Starzec wielkolistny
Senecio nemorensis	Starzec gajowy
Senecio ovatus	Starzec Fuchsa
Senecio rowleyanus	Starzec Rowleya
Senecio subalpinus	Starzec górski
Senecio sylvaticus	Starzec leśny
Senecio umbrosus	Starzec cienisty
Senecio vernalis	Starzec wiosenny
Senecio viscosus	Starzec lepki
Senecio vulgaris	Starzec zwyczajny
Senna alexandrina	Senna alexandrina
Sequoia sempervirens	Sekwoja wieczniezielona
Sequoiadendron giganteum	Mamutowiec olbrzymi
Serratula lycopifolia	Sierpik różnolistny
Serratula tinctoria	Sierpik barwierski
Sesamum indicum	Sezam indyjski
Sesbania grandiflora	Turi wielkokwiatowe
Sesleria albicans	Sesleria skalna
Sesleria bielzii	Sesleria Bielza
Sesleria caerulea	Sesleria błotna
Sesleria sadleriana	Sesleria tatrzańska
Setaria italica	Włośnica ber
Setaria pumila	Włośnica sina
Setaria viridis	Włośnica zielona
Sherardia arvensis	Rolnica pospolita
Sibbaldia procumbens	Sybaldia rozesłana
Sicyos angulatus	Harbuźnik kolczasty
Sida hermaphrodita	Ślazowiec pensylwański
Silaum silaus	Koniopłoch łąkowy
Silene acaulis	Lepnica bezłodygowa
Silene armeria	Lepnica baldaszkowa
Silene baccifera	Wyżpin jagodowy
Silene borysthenica	Lepnica drobnokwiatowa
Silene chlorantha	Lepnica zielonawa
Silene conica	Lepnica smukła
Silene coronaria	Firletka kwiecista
Silene dioica	Bniec czerwony
Silene flos-cuculi	Firletka poszarpana
Silene gallica	Lepnica francuska
Silene italica	Lepnica południowa
Silene italica subsp. nemoralis	Lepnica gajowa
Silene latifolia	Lepnica biała
Silene lithuanica	Lepnica litewska
Silene nutans	Lepnica zwisła
Silene otites	Lepnica wąskopłatkowa
Silene rupestris	Lepnica skalna
Silene schafta	Lepnica kaukaska
Silene suecica	Firletka alpejska
Silene tatarica	Lepnica tatarska
Silene viscaria	Smółka pospolita
Silene vulgaris	Lepnica rozdęta
Silybum marianum	Ostropest plamisty
Sinapis alba	Gorczyca biała
Sinapis arvensis	Gorczyca polna
Sisymbrium loeselii	Stulisz Loesela
Sisymbrium officinale	Stulisz lekarski
Sisymbrium polymorphum	Stulisz miotłowy
Sisyrinchium arenarium	Sisyrinchium arenarium
Sisyrinchium azureum	Sisyrinchium azureum
Sisyrinchium chilense	Sisyrinchium chilense
Sisyrinchium cuspidatum	Sisyrinchium cuspidatum
Sisyrinchium graminifolium	Sisyrinchium graminifolium
Sisyrinchium patagonicum	Sisyrinchium patagonicum
Sisyrinchium pearcei	Sisyrinchium pearcei
Sisyrinchium striatum	Sisyrinchium striatum
Sium latifolium	Marek szerokolistny
Skimmia japonica	Skimmia japońska
Skimmia reevesiana	Skimmia Reevesa
Smyrnium olusatrum	Przewłoka warzywna
Solandra maxima	Solandra wielka
Solanum dulcamara	Psianka słodkogórz
Solanum incanum	Psianka szara
Solanum melongena	Psianka podłużna
Solanum nigrum	Psianka czarna
Solanum pseudocapsicum	Psianka koralowa
Solanum tuberosum	Ziemniak
Soldanella carpatica	Urdzik karpacki
Soldanella minima	Soldanella minima
Solidago alpestris	Nawłoć alpejska
Solidago canadensis	Nawłoć kanadyjska
Solidago gigantea	Nawłoć późna
Solidago virgaurea	Nawłoć pospolita
Sonchus arvensis	Mlecz polny
Sonchus asper	Mlecz kolczasty
Sonchus oleraceus	Mlecz zwyczajny
Sorbaria sorbifolia	Tawlina jarzębolistna
Sorbus americana	Jarząb amerykański
Sorbus aria	Jarząb mączny
Sorbus aucuparia	Jarząb pospolity
Sorbus chamaemespilus	Jarząb nieszpułkowy
Sorbus domestica	Jarząb domowy
Sorbus graeca	Jarząb grecki
Sorbus hybrida	Jarząb pośredni
Sorbus intermedia	Jarząb szwedzki
Sorbus latifolia	Jarząb szerokolistny
Sorbus torminalis	Jarząb brekinia
Sorghum bicolor	Sorgo dwubarwne
Sparganium angustifolium	Jeżogłówka pokrewna
Sparganium emersum	Jeżogłówka pojedyncza
Sparganium erectum	Jeżogłówka gałęzista
Sparganium erectum subsp. neglectum	Jeżogłówka zapoznana
Sparganium natans	Jeżogłówka najmniejsza
Spartium junceum	Szczodrzenica sitowata
Spathodea campanulata	Spatodea dzwonkowata
Spergula arvensis	Sporek polny
Spergula morisonii	Sporek wiosenny
Spergula pentandra	Sporek pięciopręcikowy
Spergularia media	Muchotrzew trwały
Spergularia rubra	Muchotrzew polny
Spergularia salina	Muchotrzew solniskowy
Spergularia segetalis	Muchotrzew zbożowy
Spiesia halleri	Ostrołódka Hallera
Spinacia oleracea	Szpinak warzywny
Spiraea japonica	Tawuła japońska
Spiraea media	Tawuła średnia
Spiraea salicifolia	Tawuła wierzbolistna
Spiranthes spiralis	Kręczynka jesienna
Spirodela polyrhiza	Spirodela wielokorzeniowa
Splachnum sphaericum	Podsadnik kulisty
Stachys affinis	Czyściec bulwiasty
Stachys alpina	Czyściec górski
Stachys annua	Czyściec roczny
Stachys arvensis	Czyściec polny
Stachys byzantina	Czyściec wełnisty
Stachys officinalis	Bukwica zwyczajna
Stachys palustris	Czyściec błotny
Stachys recta	Czyściec prosty
Stachys sylvatica	Czyściec leśny
Staphylea pinnata	Kłokoczka południowa
Stellaria crassifolia	Gwiazdnica grubolistna
Stellaria graminea	Gwiazdnica trawiasta
Stellaria holostea	Gwiazdnica wielkokwiatowa
Stellaria longifolia	Gwiazdnica długolistna
Stellaria media	Gwiazdnica pospolita
Stellaria neglecta	Gwiazdnica zaniedbana
Stellaria nemorum	Gwiazdnica gajowa
Stellaria palustris	Gwiazdnica błotna
Stephanandra tanakae	Tawulec Tanaki
Stipa borysthenica	Ostnica piaskowa
Stipa capillata	Ostnica włosowata
Stipa gigantea	Ostnica olbrzymia
Stipa joannis	Ostnica Jana
Stipa pulcherrima	Ostnica powabna
Stratiotes aloides	Osoka aloesowata
Strelitzia reginae	Strelicja królewska
Streptopus amplexifolius	Liczydło górskie
Strophanthus gratus	Strofant wdzięczny
Stuckenia filiformis	Rdestnica nitkowata
Stuckenia pectinata	Rdestnica grzebieniasta
Styphnolobium japonicum	Perełkowiec japoński
Styrax japonicus	Styrak japoński
Styrax officinalis	Styrak lekarski
Suaeda maritima	Sodówka nadmorska
Succisa pratensis	Czarcikęs łąkowy
Succisella inflexa	Czarcikęsik Kluka
Swertia perennis	Niebielistka trwała
Syagrus romanzoffiana	Syagrus romanzoffiana
Symphoricarpos albus	Śnieguliczka biała
Symphoricarpos orbiculatus	Śnieguliczka koralowa
Symphyotrichum lanceolatum	Aster lancetowaty
Symphyotrichum novae-angliae	Aster nowoangielski
Symphyotrichum novi-belgii	Aster nowobelgijski
Symphyotrichum tradescantii	Aster drobnokwiatowy
Symphyotrichum × salignum	Aster wierzbolistny
Symphytum cordatum	Żywokost sercowaty
Symphytum officinale	Żywokost lekarski
Symphytum tuberosum	Żywokost bulwiasty
Syntrichia calcicola	Pędzliczek wapienny
Syntrichia laevipila	Pędzliczek gładkowłoskowy
Syntrichia latifolia	Pędzliczek szerokolistny
Syntrichia montana	Pędzliczek górski
Syntrichia ruralis	Pędzliczek wiejski
Syntrichia sinensis	Pędzliczek chiński
Syntrichia virescens	Pędzliczek zielonawy
Syringa josikaea	Lilak Josiki
Syringa vulgaris	Lilak pospolity
Syringa × chinensis	Lilak chiński
Syzygium aromaticum	Czapetka pachnąca
Nazwa łacińska	Nazwa polska
Syzygium jambos	Czapetka jambos
Tacca integrifolia	Krąpiel całolistna
Tacca leontopetaloides	Krąpiel pierzastodzielna
Tagetes erecta	Aksamitka wzniesiona
Tagetes patula	Aksamitka rozpierzchła
Tagetes tenuifolia	Aksamitka wąskolistna
Taiwania cryptomerioides	Tajwania kryptomeriopodobna
Tamarix aphylla	Tamaryszek bezlistny
Tamarix gallica	Tamaryszek francuski
Tamarix ramosissima	Tamaryszek rozgałęziony
Tamarix tetrandra	Tamaryszek czteropręcikowy
Tanacetum cinerariifolium	Tanacetum cinerariifolium
Tanacetum parthenium	Wrotycz maruna
Tanacetum vulgare	Wrotycz pospolity
Taraxacum alpinum	Mniszek alpejski
Taraxacum officinale	Mniszek pospolity
Taraxacum pieninicum	Mniszek pieniński
Taxodium distichum	Cypryśnik błotny
Taxus baccata	Cis pospolity
Taxus brevifolia	Cis krótkolistny
Taxus canadensis	Cis kanadyjski
Taxus cuspidata	Cis japoński
Taxus × media	Cis pośredni
Tecoma stans	Tekoma prosta
Teesdalia nudicaulis	Chroszcz nagołodygowy
Telekia speciosa	Smotrawa okazała
Tephroseris crispa	Starzec kędzierzawy
Tephroseris integrifolia subsp. capitata	Starzec główkowaty
Tephroseris palustris	Starzec błotny
Tephroseris papposa	Starzec długolistny
Terminalia arjuna	Migdałecznik arjuna
Tetraclinis articulata	Cyprzyk czteroklapowy
Tetradium daniellii	Tetradium daniellii
Teucrium chamaedrys	Ożanka właściwa
Teucrium montanum	Ożanka górska
Teucrium polium	Ożanka popielata
Teucrium scordium	Ożanka czosnkowa
Teucrium scorodonia	Ożanka nierównoząbkowa
Thalictrum aquilegifolium	Rutewka orlikolistna
Thalictrum flavum	Rutewka żółta
Thalictrum lucidum	Rutewka wąskolistna
Thalictrum minus	Rutewka mniejsza
Thalictrum simplex	Rutewka pojedyncza
Thelypteris palustris	Zachylnik błotny
Thesium alpinum	Leniec alpejski
Thesium ebracteatum	Leniec bezpodkwiatkowy
Thesium linophyllon	Leniec pospolity
Thesium pyrenaicum	Leniec łąkowy
Thlaspi arvense	Tobołki polne
Thlaspi perfoliatum	Tobołki przerosłe
Thuidium delicatulum	Tujowiec delikatny
Thuidium recognitum	Tujowiec szerokolistny
Thuidium tamariscinum	Tujowiec tamaryszkowaty
Thuja occidentalis	Żywotnik zachodni
Thuja plicata	Żywotnik olbrzymi
Thuja sutchuenensis	Thuja sutchuenensis
Thujopsis dolabrata	Żywotnikowiec japoński
Thymelaea hirsuta	Thymelaea hirsuta
Thymelaea passerina	Wilczypieprz roczny
Thymus alpestris	Macierzanka halna
Thymus carpaticus	Macierzanka karpacka
Thymus kosteleckyanus	Macierzanka pannońska
Thymus marschallianus	Macierzanka Marschalla
Thymus praecox	Macierzanka wczesna
Thymus pulcherrimus	Macierzanka nadobna
Thymus pulegioides	Macierzanka zwyczajna
Thymus serpyllum	Macierzanka piaskowa
Thymus vulgaris	Macierzanka tymianek
Tilia cordata	Lipa drobnolistna
Tilia euchlora	Lipa krymska
Tilia platyphyllos	Lipa szerokolistna
Tilia tomentosa	Lipa srebrzysta
Tofieldia calyculata	Kosatka kielichowa
Tolypella glomerata	Tolypella glomerata
Torilis japonica	Kłobuczka pospolita
Torreya californica	Torreja kalifornijska
Torreya nucifera	Torreja orzechowa
Tortella flavovirens	Kędzierzawka żółtozielona
Tortella fragilis	Kędzierzawka krucha
Tortella inclinata	Kędzierzawka nachylona
Tortella tortuosa	Kędzierzawka pospolita
Tortula acaulon	Brodek bezłodygowy
Tortula cernua	Brodek zwisły
Tortula hoppeana	Brodek Hoppego
Tortula lanceola	Brodek lancetowaty
Tortula modica	Brodek zwyczajny
Tortula mucronifolia	Brodek szpiczasty
Tortula muralis	Brodek murowy
Tortula truncata	Brodek ucięty
Toxicodendron pubescens	Toxicodendron pubescens
Tozzia alpina	Tocja karpacka
Trachycarpus fortunei	Szorstkowiec Fortunego
Trachyspermum ammi	Chropawiec wonny
Trachystemon orientalis	Trachystemon orientalis
Tragopogon dubius	Kozibród wielki
Tragopogon porrifolius	Kozibród porolistny
Tragopogon pratensis	Kozibród łąkowy
Trapa natans	Kotewka orzech wodny
Traunsteinera globosa	Storczyca kulista
Tribulus terrestris	Buzdyganek naziemny
Trichomanes speciosum	Włosocień delikatny
Trichophorum alpinum	Wełnianeczka alpejska
Trichophorum cespitosum	Wełnianeczka darniowa
Trichostomum tenuirostre	Zębowłos cylindryczny
Trifolium alpestre	Koniczyna dwukłosowa
Trifolium alpinum	Koniczyna alpejska
Trifolium arvense	Koniczyna polna
Trifolium aureum	Koniczyna złocistożółta
Trifolium badium	Koniczyna brunatna
Trifolium campestre	Koniczyna różnoogonkowa
Trifolium dubium	Koniczyna drobnogłówkowa
Trifolium fragiferum	Koniczyna rozdęta
Trifolium hybridum	Koniczyna białoróżowa
Trifolium incarnatum	Koniczyna krwistoczerwona
Trifolium medium	Koniczyna pogięta
Trifolium montanum	Koniczyna pagórkowa
Trifolium ochroleucon	Koniczyna żółtobiała
Trifolium pannonicum	Koniczyna pannońska
Trifolium pratense	Koniczyna łąkowa
Trifolium repens	Koniczyna biała
Trifolium rubens	Koniczyna długokłosowa
Trifolium striatum	Koniczyna kreskowana
Triglochin maritima	Świbka morska
Triglochin palustris	Świbka błotna
Trigonella caerulea	Kozieradka błękitna
Trigonella foenum-graecum	Kozieradka pospolita
Tripleurospermum maritimum	Maruna nadmorska
Tripolium pannonicum subsp. tripolium	Aster solny
Trisetum flavescens	Konietlica łąkowa
Trisetum sibiricum	Konietlica syberyjska
Triticum aestivum	Pszenica zwyczajna
Triticum dicoccoides	Triticum dicoccoides
Triticum dicoccon	Pszenica płaskurka
Triticum durum	Pszenica twarda
Triticum monococcum	Pszenica samopsza
Triticum polonicum	Pszenica polska
Triticum spelta	Pszenica orkisz
Trollius altissimus	Pełnik alpejski
Trollius europaeus	Pełnik europejski
Tropaeolum majus	Nasturcja większa
Tsuga canadensis	Choina kanadyjska
Tsuga heterophylla	Choina zachodnia
Tulipa agenensis	Tulipa agenensis
Tulipa clusiana	Tulipan Klusjusza
Tulipa fosteriana	Tulipan Fostera
Tulipa hybr.	Tulipan ogrodowy
Tulipa praestans	Tulipan dostojny
Tulipa suaveolens	Tulipan pachnący
Tulipa sylvestris	Tulipan dziki
Tulipa turkestanica	Tulipan turkiestański
Turritis glabra	Wieżyczka gładka
Tussilago farfara	Podbiał pospolity
Typha angustifolia	Pałka wąskolistna
Typha domingensis	Pałka południowa
Typha latifolia	Pałka szerokolistna
Typha minima	Pałka drobna
Ulex europaeus	Kolcolist zachodni
Ulmus glabra	Wiąz górski
Ulmus laevis	Wiąz szypułkowy
Ulmus minor	Wiąz pospolity
Ulota bruchii	Nastroszek Brucha
Ulota crispa	Nastroszek kędzierzawy
Urtica dioica	Pokrzywa zwyczajna
Urtica pilulifera	Pokrzywa kuleczkowata
Urtica urens	Pokrzywa żegawka
Utricularia australis	Pływacz zachodni
Utricularia intermedia	Pływacz średni
Utricularia minor	Pływacz drobny
Utricularia ochroleuca	Pływacz krótkoostrogowy
Utricularia vulgaris	Pływacz zwyczajny
Vaccaria hispanica	Krowiziół zbożowy
Vaccinium corymbosum	Borówka wysoka
Vaccinium macrocarpon	Żurawina wielkoowocowa
Vaccinium microcarpum	Żurawina drobnoowocowa
Vaccinium myrtillus	Borówka czarna
Vaccinium oxycoccos	Żurawina błotna
Vaccinium uliginosum	Borówka bagienna
Vaccinium vitis-idaea	Borówka brusznica
Valeriana dioica	Kozłek dwupienny
Valeriana montana	Kozłek górski
Valeriana officinalis	Kozłek lekarski
Valeriana sambucifolia	Kozłek bzowy
Valeriana simplicifolia	Kozłek całolistny
Valeriana tripteris	Kozłek trójlistkowy
Valerianella	Roszpunka
Valerianella locusta	Roszpunka warzywna
Vallisneria americana	Nurzaniec amerykański
Vallisneria spiralis	Nurzaniec śrubowy
Veratrum album	Ciemiężyca biała
Veratrum lobelianum	Ciemiężyca zielona
Veratrum nigrum	Ciemiężyca czarna
Verbascum densiflorum	Dziewanna wielkokwiatowa
Verbascum lychnitis	Dziewanna firletkowa
Verbascum nigrum	Dziewanna pospolita
Verbascum phlomoides	Dziewanna kutnerowata
Verbascum phoeniceum	Dziewanna fioletowa
Verbascum thapsus	Dziewanna drobnokwiatowa
Verbena hybrida	Werbena ogrodowa
Verbena officinalis	Werbena pospolita
Vernicia fordii	Tung Forda
Veronica alpina	Przetacznik alpejski
Veronica aphylla	Przetacznik różyczkowaty
Veronica arvensis	Przetacznik polny
Veronica austriaca	Przetacznik ząbkowany
Veronica beccabunga	Przetacznik bobowniczek
Veronica bellidioides	Przetacznik stokrotkowy
