Abelmoschus esculentus	Piżmian jadalny
Atriplex calotheca	Łoboda zdobna
Atriplex glabriuscula	Łoboda nadmorska
Atriplex halimus	Łoboda solniskowa
Atriplex hortensis	Łoboda ogrodowa
Atriplex littoralis	Łoboda nadbrzeżna
Atriplex longipes	Łoboda szypułkowa
Atriplex oblongifolia	Łoboda długolistna
Atriplex patula	Łoboda rozłożysta
Atriplex pedunculata	Obione szypułkowa
Atriplex prostrata	Łoboda oszczepowata
Atriplex rosea	Łoboda gwiazdkowata
Atriplex sagittata	Łoboda błyszcząca
Atriplex tatarica	Łoboda szara
Atropa belladonna	Pokrzyk wilcza jagoda
Aubrieta deltoidea	Żagwin zwyczajny
Aubrieta ×cultorum	Żagwin ogrodowy
Aurinia saxatilis	Smagliczka skalna
Avena fatua	Owies głuchy
Avena sativa	Owies zwyczajny
Azadirachta indica	Miodla indyjska
Azolla caroliniana	Azolla karolińska
Azorina vidalii	Azorina vidalii
Baldellia ranunculoides	Żabienica jaskrowata
Ballota nigra	Mierznica czarna
Bambusa vulgaris	Bambusa vulgaris
Barbarea verna	Gorczycznik wiosenny
Barbarea vulgaris	Gorczycznik pospolity
Barbula convoluta	Zwojek skręcony
Barbula unguiculata	Zwojek sztyletowaty
Barringtonia asiatica	Keben okazały
Bartsia alpina	Bartsja alpejska
Basella alba	Wyćwiklin biały
Bassia laniflora	Mietelnik piaskowy
Bassia scoparia	Mietelnik żakula
Batrachium penicillatum	Włosienicznik pędzelkowaty
Bauhinia variegata	Bauhinia zmienna
Beckmannia eruciformis	Bekmania robaczkowata
Beckwithia glacialis	Jaskier lodnikowy
Begonia ×semperflorens-cultorum	Begonia stale kwitnąca
Begonia ×tuberhybrida	Begonia bulwiasta
Bellidiastrum michelii	Stokrotnica górska
Bellis perennis	Stokrotka pospolita
Berberis buxifolia	Berberys bukszpanolistny
Berberis chinensis	Berberys chiński
Berberis julianae	Berberys Julianny
Berberis koreana	Berberys koreański
Berberis thunbergii	Berberys Thunberga
Berberis verruculosa	Berberys gruczołkowaty
Berberis vulgaris	Berberys zwyczajny
Berberis x stenophylla	Berberys wąskolistny
Berberis ×ottawensis	Berberys ottawski
Bergenia crassifolia	Bergenia grubolistna
Berteroa incana	Pyleniec pospolity
Berula erecta	Potocznik wąskolistny
Beta vulgaris	Burak zwyczajny
Betula alleghaniensis	Brzoza żółta
Betula costata	Brzoza żeberkowana
Betula davurica	Brzoza dahurska
Betula ermanii	Brzoza Ermana
Betula grossa	Brzoza grabolistna
Betula humilis	Brzoza niska
Betula lenta	Brzoza cukrowa
Betula maximowicziana	Brzoza Maksimowicza
Betula nana	Brzoza karłowata
Betula nigra	Brzoza nadrzeczna
Betula oycoviensis	Brzoza ojcowska
Betula papyrifera	Brzoza papierowa
Betula pendula	Brzoza brodawkowata
Betula pubescens	Brzoza omszona
Betula szaferi	Brzoza Szafera
Betula utilis	Brzoza pożyteczna
Bidens cernua	Uczep zwisły
Bidens connata	Uczep zwodniczy
Bidens frondosa	Uczep amerykański
Bidens radiata	Uczep śląski
Bidens tripartita	Uczep trójlistkowy
Biscutella laevigata	Pleszczotka górska
Blechnum spicant	Podrzeń żebrowiec
Blighia sapida	Bligia pospolita
Blysmus compressus	Ostrzew spłaszczony
Blysmus rufus	Ostrzew rudy
Boehmeria nivea	Szczmiel biały
Bolboschoenus maritimus	Sitowiec nadmorski
Boltonia asteroides	Boltonia gwiaździsta
Borago officinalis	Ogórecznik lekarski
Bothriochloa ischaemum	Palczatka kosmata
Botrychium lanceolatum	Podejźrzon lancetowaty
Botrychium lunaria	Podejźrzon księżycowy
Botrychium matricariifolium	Podejźrzon marunowy
Botrychium multifidum	Podejźrzon rutolistny
Botrychium simplex	Podejźrzon pojedynczy
Botrychium virginianum	Podejźrzon wirginijski
Bougainvillea glabra	Bugenwilla gładka
Brachychiton acerifolius	Brachychiton klonolistny
Brachypodium pinnatum	Kłosownica pierzasta
Brachypodium sylvaticum	Kłosownica leśna
Brassica juncea	Kapusta sitowata
Brassica napus	Kapusta rzepak
Brassica nigra	Kapusta czarna
Brassica oleracea	Kapusta warzywna
Brassica rapa	Kapusta właściwa
Briza maxima	Drżączka większa
Briza media	Drżączka średnia
Briza minor	Drżączka mniejsza
Bromus arvensis	Stokłosa polna
Bromus benekenii	Stokłosa Benekena
Bromus erectus	Stokłosa prosta
Bromus hordeaceus	Stokłosa miękka
Bromus inermis	Stokłosa bezostna
Bromus racemosus	Stokłosa groniasta
Bromus ramosus	Stokłosa gałęzista
Bromus secalinus	Stokłosa żytnia
Bromus squarrosus	Stokłosa łuskowata
Bromus sterilis	Stokłosa płonna
Bromus tectorum	Stokłosa dachowa
Broussonetia papyrifera	Brusonecja chińska
Bryoerythrophyllum ferruginascens	Krasnolist rdzawy
Bryoerythrophyllum recurvirostrum	Krasnolist krzywodzióbek
Bryonia alba	Przestęp biały
Bryonia dioica	Przestęp dwupienny
Bryum neodamense	Prątnik brandenburski
Bryum subneodamense	Prątnik jajowaty
Bryum weigelii	Prątnik zbiegający
Buckiella undulata	Płaszczeniec marszczony
Buddleja davidii	Budleja Davida
Buglossoides arvensis	Nawrot polny
Buglossoides purpurocaerulea	Nawrot czerwonobłękitny
Bunias orientalis	Rukiewnik wschodni
Buphthalmum salicifolium	Kołotocznik wierzbolistny
Bupleurum falcatum	Przewiercień sierpowaty
Bupleurum longifolium	Przewiercień długolistny
Bupleurum rotundifolium	Przewiercień okrągłolistny
Bupleurum tenuissimum	Przewiercień cienki
Butomus umbellatus	Łączeń baldaszkowy
Buxbaumia viridis	Bezlist okrywowy
Buxus sempervirens	Bukszpan zwyczajny
Cabomba aquatica	Kabomba wodna
Cabomba caroliniana	Kabomba karolińska
